Stakeholder name,Lattitude,Longitude,Stakeholder type,Broad stakeholder issues category,Logo link,Website link
Victorian National Parks Association,-37.804909,144.960794,Regional group,"Marine Pests/Biodiversity, Chemical Run Off and Pollution",https://vnpa.org.au/wp-content/themes/vnpa/assets/dist/img/logo.png,https://vnpa.org.au/
"Department of Environment, Land, Water and Planning / Coastcare Victoria",-37.874396,145.254104,State government,"Marine Pests/Biodiversity, Chemical Run Off and Pollution, Climate Change",https://upload.wikimedia.org/wikipedia/commons/0/05/DELWP_logo_%28cropped%29.png,https://www2.delwp.vic.gov.au/
Rye Community Group Alliance + Rye Coastal Advisory Group ,-38.370504,144.820584,Local community,"Climate Change, Chemical Run Off and Pollution, Human Activity, Plastics and Litters",,https://mpcommunity.com.au/user/rye-community-group-alliance/
"Malacological Society of Australasia, Victorian Branch",-37.829707,145.142369,Local community,"Human Activity, Chemical Run Off and Pollution, Marine Pests/Biodiversity, Plastics and Litters",http://malsocaus.org/testwp/wp-content/uploads/2013/08/cropped-MSALogo_colour_thumbnail.jpg,http://www.malsocaus.org/?page_id=91
Share The Word Design Studio,-38.376202,144.836446,Regional group,"Human Activity, Plastics and Litters",https://www.sharetheword.com.au/wp-content/uploads/2015/03/Logo450_111pxl.png,https://www.sharetheword.com.au/
Port Phillip & Westernport CMA,-38.143152,145.120508,State government,"Marine Pests/Biodiversity, Chemical Run Off and Pollution, Human Activity, Management Plans and Protections, Plastics and Litters",https://www.ppwcma.vic.gov.au/wp-content/themes/ppwcma/res/logo.png,https://www.ppwcma.vic.gov.au/
Association of Bayside Municipalities ,-37.813033,144.959726,Local government,"Community Education, Climate Change, Human Activity, Management Plans and Protections",https://abm.org.au/wp-content/uploads/2018/05/ABM_logo_01_retina1.jpg,https://abm.org.au/
Blairgowrie Yacht Squadron,-38.359005,144.772917,Regional group,"Marine Pests/Biodiversity, Chemical Run Off and Pollution, Human Activity",https://mk0blairgowrieybedwh.kinstacdn.com/wp-content/uploads/2018/10/Blairgowrie-Yacht-Squadron-Logo.png,https://www.bys.asn.au/
City of Greater Geelong,-38.146521,144.365049,Local government,"Marine Pests/Biodiversity, Human Activity, Climate Change, Plastics and Litters",https://orbitgt.com/wp-content/uploads/2019/04/city-of-greater-geelong.png,https://www.geelongaustralia.com.au/environment/default.aspx
Blair Stafford,-37.812275,144.962263,Regional group,"Marine Pests/Biodiversity, Chemical Run Off and Pollution, Human Activity, Management Plans and Protections, Plastics and Litters",,
Blue Wedges ,-37.811533,144.964682,Local community,"Chemical Run Off and Pollution, Human Activity",,http://www.bluewedges.org.au/
Marine Response Unit (Melbourne Zoo),-37.787185,144.950724,"Not-for-profit, statutory authority","Marine Pests/Biodiversity, Human Activity, Management Plans and Protections",https://zoosvic-endpoint-website-prod-public.azureedge.net/assets/svg/logos/zoos-victoria--colour.svg?v=1.0.153.241,https://www.zoo.org.au/fighting-extinction/marine-response-unit/
Earthcare St Kilda,-37.864741,144.964771,Local community,"Chemical Run Off and Pollution, Marine Pests/Biodiversity, Other",http://earthcarestkilda.org.au/wp-content/uploads/2016/01/ecsk_logo_100.png,https://earthcarestkilda.org.au/
Marine Mammal Foundation,-37.938285,145.030528,Regional group,"Marine Pests/Biodiversity, Chemical Run Off and Pollution, Management Plans and Protections",https://assets-global.website-files.com/5cfe1ff171000a855754a32f/5d308ce16c4ba5e3e639395c_marine_mammal_foundation_(1).png,https://marinemammal.org.au/
"National Centre for Coasts and Climate, University of Melbourne",-37.796286,144.961071,Research institute/university,"Marine Pests/Biodiversity, Human Activity, Chemical Run Off and Pollution, Climate Change, Management Plans and Protections",https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcQ74vmK8XxEv8esMtOBkdO6YIZv4PtvFAT967R2z2K9UzZkHxC-&usqp=CAU,https://nccc.edu.au/
Melbourne Water,-37.814237,144.947091,State government,Management Plans and Protections,https://victoriancollections.net.au/media/collectors/4f729f7f97f83e0308601902/collector-avatar/5b06136121ea670cb463cf57/org-logo-1200x1200.png,https://www.melbournewater.com.au/
Dive2U,-38.115106,145.186369,Business and education,Other,"https://static.wixstatic.com/media/fb0463_ca9561789b2d406daf0bf3c93647fd26~mv2.png/v1/fill/w_560,h_186,al_c,q_85,usm_0.66_1.00_0.01/Dive%202U%201%20copy_edited.webp",https://www.dive2u.com/
Jawbone Marine Sanctuary Care Group,-37.866049,144.883674,Volunteer community group,Other,https://static1.squarespace.com/static/5c2c12ee5b409b7ffc78d945/t/5c2c15e4cd836676a1bd209a/1580436199042/,https://www.jawbone.org.au/
Bellarine Catchment Network,-38.221466,144.608155,Regional group,"Plastics and Litters, Chemical Run Off and Pollution, Community Education, Human Activity",http://www.environmentbellarine.org.au/images/BCN_logo.png,http://www.environmentbellarine.org.au/
